id_batiment,nb_maisons,infra_type,cluster_infra,cluster_infra_
E000363,1,a_remplacer,"{'P005100': 6.25975675306654, 'P000732': 10.7871386086093, 'P008001': 9.80181343246892, 'P000719': 10.698159350814, 'P008003': 16.9947899061457, 'P008004': 4.2679056836056, 'P000494': 4.84007013228732, 'P008010': 7.57564714734482, 'P008012': 2.80432575486411, 'P008013': 8.28759638847956, 'P000476': 4.08484495788828, 'P008016': 8.04338585809972, 'P000470': 2.57224945914596, 'P008019': 4.16591671935325, 'P000464': 4.85875310412324, 'P000462': 3.69477602082419, 'P000627': 4.90868168597643, 'P007645': 3.03521930158189}","{'aerien': 67.79352269898375, 'fourreau': 45.72159084634184, 'semi-aerien': 4.16591671935325}"
E000364,1,a_remplacer,"{'P004862': 8.82148724309171, 'P008031': 10.978932377147, 'P007518': 4.91814131725302}",{'aerien': 24.71856093749173}
E000365,1,a_remplacer,"{'P004862': 8.82148724309171, 'P008031': 10.978932377147, 'P007780': 9.91136244085116}","{'aerien': 19.80041962023871, 'fourreau': 9.91136244085116}"
E000366,1,a_remplacer,"{'P006712': 12.5562775429942, 'P003802': 12.5012019609488, 'P003870': 6.48414270909882, 'P003881': 5.48429532793334, 'P003903': 10.912493042733, 'P007478': 12.9024250386495}","{'fourreau': 12.5562775429942, 'aerien': 35.38213304071397, 'semi-aerien': 12.9024250386495}"
E000367,1,a_remplacer,"{'P006950': 4.98657320364, 'P008033': 30.5368269197176, 'P004282': 6.15148232447661, 'P004284': 5.44625644673519, 'P007564': 7.13168893719009}","{'fourreau': 35.523400123357604, 'aerien': 18.72942770840189}"
E000368,1,a_remplacer,"{'P006950': 4.98657320364, 'P008033': 30.5368269197176, 'P004282': 6.15148232447661, 'P004284': 5.44625644673519, 'P007609': 7.79612855602243}","{'fourreau': 35.523400123357604, 'aerien': 19.39386732723423}"
E000369,1,a_remplacer,"{'P006950': 4.98657320364, 'P008033': 30.5368269197176, 'P004271': 6.61138266761108, 'P004269': 8.03245737103393, 'P007507': 8.2451799365212}","{'fourreau': 50.37996272748988, 'aerien': 8.03245737103393}"
E000370,1,a_remplacer,"{'P005100': 6.25975675306654, 'P000732': 10.7871386086093, 'P008001': 9.80181343246892, 'P000719': 10.698159350814, 'P008003': 16.9947899061457, 'P008004': 4.2679056836056, 'P000494': 4.84007013228732, 'P008010': 7.57564714734482, 'P008012': 2.80432575486411, 'P008013': 8.28759638847956, 'P000476': 4.08484495788828, 'P008016': 8.04338585809972, 'P000470': 2.57224945914596, 'P008019': 4.16591671935325, 'P000464': 4.85875310412324, 'P000462': 3.69477602082419, 'P008017': 4.27226322548612, 'P000621': 6.05514938826793, 'P007533': 2.84839658610424}","{'aerien': 75.08571601115591, 'fourreau': 40.81290916036541, 'semi-aerien': 7.01431330545749}"
E000371,1,a_remplacer,"{'P005100': 6.25975675306654, 'P000732': 10.7871386086093, 'P008001': 9.80181343246892, 'P000719': 10.698159350814, 'P008003': 16.9947899061457, 'P008004': 4.2679056836056, 'P000494': 4.84007013228732, 'P008010': 7.57564714734482, 'P008012': 2.80432575486411, 'P008013': 8.28759638847956, 'P000476': 4.08484495788828, 'P008016': 8.04338585809972, 'P000470': 2.57224945914596, 'P008019': 4.16591671935325, 'P000464': 4.85875310412324, 'P000462': 3.69477602082419, 'P008017': 4.27226322548612, 'P008018': 14.7483787687636, 'P007616': 7.57918244268621}","{'aerien': 91.35812783433778, 'fourreau': 40.81290916036541, 'semi-aerien': 4.16591671935325}"
E000372,1,a_remplacer,"{'P006950': 4.98657320364, 'P008033': 30.5368269197176, 'P004271': 6.61138266761108, 'P004269': 8.03245737103393, 'P004261': 8.0897383575819, 'P007610': 8.8689078508038}","{'fourreau': 51.00369064177249, 'aerien': 8.03245737103393, 'semi-aerien': 8.0897383575819}"
E000373,1,a_remplacer,"{'P004862': 8.82148724309171, 'P008031': 10.978932377147, 'P008032': 10.5209747840379, 'P004209': 9.97549376892212, 'P007514': 10.3279655802057}","{'aerien': 40.64935998448231, 'fourreau': 9.97549376892212}"
E000374,1,a_remplacer,"{'P004862': 8.82148724309171, 'P008031': 10.978932377147, 'P008032': 10.5209747840379, 'P008034': 10.0099030897997, 'P007534': 11.0908638527212}","{'aerien': 30.32139440427661, 'fourreau': 21.1007669425209}"
E000375,1,a_remplacer,"{'P006950': 4.98657320364, 'P008033': 30.5368269197176, 'P004271': 6.61138266761108, 'P004269': 8.03245737103393, 'P004261': 8.0897383575819, 'P004257': 6.11375464797472, 'P007768': 9.32956330061528}","{'fourreau': 42.134782790968686, 'aerien': 17.362020671649212, 'semi-aerien': 14.20349300555662}"
E000376,1,a_remplacer,"{'P004862': 8.82148724309171, 'P008031': 10.978932377147, 'P008032': 10.5209747840379, 'P004209': 9.97549376892212, 'P004211': 2.87454919232451, 'P007506': 14.6582864643116}","{'aerien': 44.97968086858821, 'fourreau': 12.850042961246631}"
E000377,1,a_remplacer,"{'P004862': 8.82148724309171, 'P008031': 10.978932377147, 'P008032': 10.5209747840379, 'P008035': 11.7197592250876, 'P004196': 7.74281322100572, 'P007703': 10.1403162890544}","{'aerien': 42.04115362936421, 'fourreau': 7.74281322100572, 'semi-aerien': 10.1403162890544}"
E000378,1,a_remplacer,"{'P004862': 8.82148724309171, 'P008031': 10.978932377147, 'P008032': 10.5209747840379, 'P008035': 11.7197592250876, 'P004234': 13.4849030344439, 'P007497': 7.52768320033647}",{'aerien': 63.053739864144575}
E000379,1,a_remplacer,"{'P006950': 4.98657320364, 'P008033': 30.5368269197176, 'P004271': 6.61138266761108, 'P004269': 8.03245737103393, 'P004261': 8.0897383575819, 'P004257': 6.11375464797472, 'P004251': 5.83511135139461, 'P007766': 10.9647553869973}","{'fourreau': 42.134782790968686, 'aerien': 13.86756872242854, 'semi-aerien': 25.16824839255392}"
E000380,1,a_remplacer,"{'P004862': 8.82148724309171, 'P008031': 10.978932377147, 'P008032': 10.5209747840379, 'P008035': 11.7197592250876, 'P004196': 7.74281322100572, 'P004185': 5.82173712682777, 'P007463': 9.79128091421177}","{'aerien': 47.86289075619198, 'fourreau': 17.53409413521749}"
E000381,1,a_remplacer,"{'P004862': 8.82148724309171, 'P008031': 10.978932377147, 'P008032': 10.5209747840379, 'P008035': 11.7197592250876, 'P004234': 13.4849030344439, 'P008036': 7.44176035956022, 'P007459': 9.86535817150771}","{'aerien': 65.39141483531581, 'semi-aerien': 7.44176035956022}"
